Petrol (USD),date,month,year
74.59,9,6,2003
74.47,16,6,2003
74.42,23,6,2003
74.35,30,6,2003
74.28,7,7,2003
74.21,14,7,2003
75.07,21,7,2003
75.1,28,7,2003
75.12,4,8,2003
75.44,11,8,2003
75.81,18,8,2003
76.05,26,8,2003
76.13,1,9,2003
76.23,8,9,2003
76.2,15,9,2003
76.15,22,9,2003
76.08,29,9,2003
76.43,6,10,2003
75.9,13,10,2003
76.05,20,10,2003
76.0,27,10,2003
76.0,3,11,2003
75.94,10,11,2003
75.93,17,11,2003
76.02,24,11,2003
76.0,1,12,2003
75.97,8,12,2003
75.96,15,12,2003
75.92,22,12,2003
75.94,29,12,2003
75.88,5,1,2004
75.9,12,1,2004
76.36,19,1,2004
76.44,26,1,2004
76.48,2,2,2004
76.5,9,2,2004
76.44,16,2,2004
76.38,23,2,2004
76.32,1,3,2004
76.73,8,3,2004
77.39,15,3,2004
77.44,22,3,2004
77.59,29,3,2004
77.86,5,4,2004
77.88,12,4,2004
78.04,19,4,2004
78.4,26,4,2004
79.28,4,5,2004
80.3,10,5,2004
81.49,17,5,2004
82.13,24,5,2004
82.35,31,5,2004
82.44,7,6,2004
81.54,14,6,2004
81.04,21,6,2004
80.41,28,6,2004
79.87,5,7,2004
80.34,12,7,2004
80.84,19,7,2004
80.87,26,7,2004
80.86,2,8,2004
81.18,9,8,2004
81.25,16,8,2004
81.51,23,8,2004
81.53,31,8,2004
81.37,6,9,2004
81.31,13,9,2004
81.28,20,9,2004
81.63,27,9,2004
82.05,4,10,2004
83.11,11,10,2004
83.35,18,10,2004
83.94,25,10,2004
84.27,1,11,2004
84.34,8,11,2004
84.26,15,11,2004
81.46,22,11,2004
84.17,29,11,2004
84.06,6,12,2004
81.46,20,12,2004
81.2,27,12,2004
81.17,3,1,2005
79.84,10,1,2005
78.93,17,1,2005
78.93,24,1,2005
79.54,31,1,2005
79.84,7,2,2005
80.03,14,2,2005
80.15,21,2,2005
80.45,28,2,2005
81.16,7,3,2005
81.64,14,3,2005
82.7,21,3,2005
83.4,28,3,2005
83.91,4,4,2005
85.61,11,4,2005
85.63,18,4,2005
85.51,25,4,2005
85.44,2,5,2005
85.36,9,5,2005
85.27,16,5,2005
84.77,23,5,2005
84.18,30,5,2005
84.01,6,6,2005
84.99,13,6,2005
85.52,20,6,2005
86.73,27,6,2005
87.49,4,7,2005
87.73,11,7,2005
88.55,18,7,2005
89.0,25,7,2005
89.25,1,8,2005
89.67,8,8,2005
90.56,15,8,2005
90.77,22,8,2005
91.42,29,8,2005
94.37,5,9,2005
95.07,12,9,2005
94.41,19,9,2005
93.33,26,9,2005
93.51,3,10,2005
94.25,10,10,2005
94.14,17,10,2005
93.47,24,10,2005
92.47,7,11,2005
90.53,14,11,2005
88.61,21,11,2005
87.35,28,11,2005
87.35,5,12,2005
87.2,12,12,2005
87.56,19,12,2005
87.88,26,12,2005
88.03,2,1,2006
88.56,9,1,2006
89.01,16,1,2006
89.55,23,1,2006
89.88,30,1,2006
89.73,6,2,2006
89.65,13,2,2006
89.6,20,2,2006
89.37,6,3,2006
89.55,13,3,2006
90.19,20,3,2006
91.16,27,3,2006
91.78,3,4,2006
92.77,10,4,2006
94.23,18,4,2006
95.35,24,4,2006
96.13,1,5,2006
96.46,8,5,2006
96.39,15,5,2006
96.1,22,5,2006
95.36,29,5,2006
95.24,5,6,2006
95.49,12,6,2006
95.44,19,6,2006
94.97,26,6,2006
95.27,3,7,2006
95.69,10,7,2006
96.88,17,7,2006
97.78,24,7,2006
97.83,31,7,2006
98.05,7,8,2006
97.82,14,8,2006
95.74,21,8,2006
94.4,28,8,2006
92.88,4,9,2006
91.48,11,9,2006
89.78,18,9,2006
88.2,25,9,2006
86.95,2,10,2006
86.6,9,10,2006
85.91,16,10,2006
85.74,23,10,2006
85.6,30,10,2006
85.54,6,11,2006
85.49,13,11,2006
85.47,27,11,2006
85.46,4,12,2006
87.44,11,12,2006
87.7,18,12,2006
87.9,25,12,2006
87.85,1,1,2007
87.66,8,1,2007
87.1,15,1,2007
86.28,22,1,2007
85.66,29,1,2007
85.62,5,2,2007
86.12,12,2,2007
86.6,19,2,2007
87.07,26,2,2007
87.74,5,3,2007
88.48,12,3,2007
88.93,19,3,2007
89.32,26,3,2007
90.47,2,4,2007
91.18,10,4,2007
91.99,16,4,2007
92.93,23,4,2007
93.45,30,4,2007
94.43,7,5,2007
95.07,14,5,2007
95.71,21,5,2007
96.16,28,5,2007
96.51,4,6,2007
96.61,11,6,2007
96.56,18,6,2007
96.54,25,6,2007
96.36,2,7,2007
96.2,9,7,2007
96.21,16,7,2007
96.23,23,7,2007
96.2,30,7,2007
96.15,6,8,2007
96.0,13,8,2007
95.31,20,8,2007
95.0,27,8,2007
94.8,3,9,2007
94.63,10,9,2007
94.65,17,9,2007
94.91,24,9,2007
96.39,1,10,2007
97.14,8,10,2007
97.19,15,10,2007
97.81,22,10,2007
98.26,29,10,2007
99.36,5,11,2007
100.74,12,11,2007
101.47,19,11,2007
102.13,26,11,2007
102.58,3,12,2007
102.67,10,12,2007
102.6,17,12,2007
102.53,24,12,2007
102.66,31,12,2007
103.37,7,1,2008
103.82,14,1,2008
104.22,21,1,2008
104.22,28,1,2008
104.03,4,2,2008
103.67,11,2,2008
103.7,18,2,2008
104.65,25,2,2008
105.24,3,3,2008
105.96,10,3,2008
106.41,17,3,2008
106.9,24,3,2008
107.1,31,3,2008
107.24,7,4,2008
107.61,14,4,2008
108.57,21,4,2008
109.5,28,4,2008
110.3,5,5,2008
111.04,12,5,2008
112.96,19,5,2008
114.79,26,5,2008
116.03,2,6,2008
116.86,9,6,2008
117.69,16,6,2008
118.44,23,6,2008
118.84,30,6,2008
119.28,7,7,2008
119.44,14,7,2008
119.4,21,7,2008
116.91,28,7,2008
115.06,4,8,2008
113.92,11,8,2008
112.22,18,8,2008
112.02,25,8,2008
112.2,1,9,2008
112.55,8,9,2008
112.51,15,9,2008
110.81,22,9,2008
109.85,29,9,2008
109.45,6,10,2008
107.04,13,10,2008
102.66,20,10,2008
98.62,27,10,2008
97.4,3,11,2008
95.89,10,11,2008
94.83,17,11,2008
92.79,24,11,2008
91.47,1,12,2008
90.16,8,12,2008
89.07,15,12,2008
88.01,22,12,2008
87.34,29,12,2008
85.42,5,1,2009
86.02,12,1,2009
86.19,19,1,2009
87.42,26,1,2009
88.16,2,2,2009
89.28,9,2,2009
90.12,16,2,2009
90.33,23,2,2009
90.28,2,3,2009
90.15,9,3,2009
90.16,16,3,2009
90.16,23,3,2009
91.35,30,3,2009
93.72,6,4,2009
94.11,13,4,2009
94.62,20,4,2009
95.13,27,4,2009
95.6,4,5,2009
96.59,11,5,2009
97.54,18,5,2009
98.9,25,5,2009
99.39,1,6,2009
100.59,8,6,2009
101.98,15,6,2009
102.81,22,6,2009
103.3,29,6,2009
103.57,6,7,2009
102.78,13,7,2009
102.22,20,7,2009
102.17,27,7,2009
102.36,3,8,2009
103.01,10,8,2009
103.96,17,8,2009
104.7,24,8,2009
105.11,31,8,2009
106.85,7,9,2009
106.43,14,9,2009
105.96,21,9,2009
105.44,28,9,2009
104.87,5,10,2009
104.71,12,10,2009
105.08,19,10,2009
106.76,26,10,2009
107.43,2,11,2009
108.1,9,11,2009
108.48,16,11,2009
108.73,23,11,2009
108.79,30,11,2009
108.64,7,12,2009
108.5,14,12,2009
107.47,21,12,2009
107.44,28,12,2009
109.34,4,1,2010
110.72,11,1,2010
111.6,18,1,2010
111.87,25,1,2010
111.91,1,2,2010
111.95,8,2,2010
111.89,15,2,2010
111.56,22,2,2010
112.42,1,3,2010
113.71,8,3,2010
115.46,15,3,2010
116.59,22,3,2010
117.28,29,3,2010
119.29,5,4,2010
119.94,12,4,2010
120.55,19,4,2010
120.99,26,4,2010
121.18,3,5,2010
121.31,10,5,2010
121.3,17,5,2010
119.93,24,5,2010
118.54,31,5,2010
118.2,7,6,2010
117.87,14,6,2010
117.8,21,6,2010
117.88,28,6,2010
117.91,5,7,2010
117.39,12,7,2010
116.85,19,7,2010
116.61,26,7,2010
116.51,2,8,2010
116.35,9,8,2010
116.34,16,8,2010
115.64,23,8,2010
114.98,30,8,2010
114.59,6,9,2010
114.66,13,9,2010
115.06,20,9,2010
115.39,27,9,2010
116.01,4,10,2010
116.78,11,10,2010
117.28,18,10,2010
117.74,25,10,2010
118.18,1,11,2010
118.67,8,11,2010
118.8,15,11,2010
118.99,22,11,2010
119.21,29,11,2010
120.54,6,12,2010
121.68,13,12,2010
122.31,20,12,2010
123.44,27,12,2010
124.85,3,1,2011
127.4,10,1,2011
127.87,17,1,2011
128.35,24,1,2011
128.55,31,1,2011
128.64,7,2,2011
128.73,14,2,2011
128.92,21,2,2011
129.72,28,2,2011
131.28,7,3,2011
132.18,14,3,2011
133.11,21,3,2011
132.44,28,3,2011
132.81,4,4,2011
133.68,11,4,2011
135.06,18,4,2011
135.62,25,4,2011
136.29,2,5,2011
137.05,9,5,2011
136.4,16,5,2011
136.11,23,5,2011
135.57,30,5,2011
135.62,6,6,2011
135.86,13,6,2011
136.03,20,6,2011
134.86,27,6,2011
133.43,4,7,2011
134.18,11,7,2011
134.97,18,7,2011
135.66,25,7,2011
136.07,1,8,2011
136.46,8,8,2011
135.95,15,8,2011
134.56,22,8,2011
134.32,29,8,2011
134.62,5,9,2011
135.0,12,9,2011
135.4,19,9,2011
135.65,26,9,2011
135.02,3,10,2011
134.47,10,10,2011
134.49,17,10,2011
134.66,24,10,2011
134.73,31,10,2011
134.41,7,11,2011
133.68,14,11,2011
133.38,21,11,2011
133.17,28,11,2011
132.78,5,12,2011
132.53,12,12,2011
132.49,19,12,2011
132.41,26,12,2011
132.4,2,1,2012
132.68,9,1,2012
133.29,16,1,2012
133.72,23,1,2012
134.1,30,1,2012
134.25,6,2,2012
134.9,13,2,2012
135.21,20,2,2012
136.21,27,2,2012
137.3,5,3,2012
137.9,12,3,2012
138.96,19,3,2012
139.48,26,3,2012
140.99,2,4,2012
141.97,9,4,2012
142.17,16,4,2012
141.76,23,4,2012
141.0,30,4,2012
140.14,7,5,2012
138.29,14,5,2012
135.77,21,5,2012
134.37,28,5,2012
134.06,4,6,2012
133.67,11,6,2012
131.99,18,6,2012
131.55,25,6,2012
130.5,2,7,2012
131.06,9,7,2012
131.49,16,7,2012
132.21,23,7,2012
132.78,30,7,2012
133.39,6,8,2012
134.27,13,8,2012
135.72,20,8,2012
137.1,27,8,2012
138.03,3,9,2012
138.91,10,9,2012
139.42,17,9,2012
139.54,24,9,2012
138.43,1,10,2012
138.24,8,10,2012
138.35,15,10,2012
138.29,22,10,2012
136.98,29,10,2012
136.43,5,11,2012
135.09,12,11,2012
134.56,19,11,2012
134.38,26,11,2012
133.05,3,12,2012
132.55,10,12,2012
131.98,17,12,2012
131.95,24,12,2012
131.92,31,12,2012
131.86,7,1,2013
132.0,14,1,2013
132.21,21,1,2013
132.95,28,1,2013
134.38,4,2,2013
135.56,11,2,2013
136.86,18,2,2013
138.5,25,2,2013
139.47,4,3,2013
140.0,11,3,2013
137.58,18,3,2013
137.09,25,3,2013
137.3,1,4,2013
137.31,8,4,2013
137.11,15,4,2013
135.68,22,4,2013
134.66,29,4,2013
133.42,6,5,2013
133.12,13,5,2013
133.17,20,5,2013
133.64,27,5,2013
134.04,3,6,2013
134.3,10,6,2013
134.46,17,6,2013
134.52,24,6,2013
133.44,1,7,2013
133.77,8,7,2013
134.95,15,7,2013
136.04,22,7,2013
136.87,29,7,2013
137.02,5,8,2013
137.13,12,8,2013
137.0,19,8,2013
136.83,28,8,2013
137.14,2,9,2013
137.6,9,9,2013
137.47,16,9,2013
136.95,23,9,2013
133.4,30,9,2013
131.62,7,10,2013
131.67,14,10,2013
131.53,21,10,2013
131.42,28,10,2013
129.92,4,11,2013
129.71,11,11,2013
129.89,18,11,2013
130.03,25,11,2013
130.25,2,12,2013
130.76,9,12,2013
130.96,16,12,2013
130.05,23,12,2013
130.03,30,12,2013
130.26,6,1,2014
130.36,13,1,2014
129.37,20,1,2014
129.02,27,1,2014
128.85,3,2,2014
128.81,10,2,2014
129.16,17,2,2014
129.2,24,2,2014
129.36,3,3,2014
129.39,10,3,2014
128.76,17,3,2014
128.57,24,3,2014
128.76,31,3,2014
128.71,7,4,2014
128.89,14,4,2014
129.11,21,4,2014
129.09,28,4,2014
129.27,5,5,2014
129.5,12,5,2014
129.42,19,5,2014
129.51,26,5,2014
129.63,2,6,2014
129.69,9,6,2014
129.88,16,6,2014
130.14,23,6,2014
130.69,30,6,2014
131.1,7,7,2014
131.11,14,7,2014
131.04,21,7,2014
130.83,28,7,2014
129.63,4,8,2014
129.41,11,8,2014
129.29,18,8,2014
128.34,25,8,2014
128.01,1,9,2014
128.34,8,9,2014
128.43,15,9,2014
128.62,22,9,2014
128.59,29,9,2014
126.78,6,10,2014
126.5,13,10,2014
125.4,20,10,2014
125.11,27,10,2014
123.94,3,11,2014
122.94,10,11,2014
122.5,17,11,2014
122.29,24,11,2014
121.18,1,12,2014
119.83,8,12,2014
116.3,15,12,2014
113.66,22,12,2014
113.16,29,12,2014
111.06,5,1,2015
108.87,12,1,2015
106.83,19,1,2015
106.32,26,1,2015
106.04,2,2,2015
106.35,9,2,2015
107.26,16,2,2015
108.34,23,2,2015
109.2,2,3,2015
110.07,9,3,2015
111.04,16,3,2015
111.65,23,3,2015
112.06,30,3,2015
112.37,6,4,2015
112.52,13,4,2015
112.87,20,4,2015
113.55,27,4,2015
114.27,4,5,2015
115.1,11,5,2015
115.74,18,5,2015
116.02,25,5,2015
116.13,1,6,2015
116.26,8,6,2015
116.39,15,6,2015
116.6,22,6,2015
116.55,29,6,2015
116.34,6,7,2015
116.41,13,7,2015
116.79,20,7,2015
116.44,27,7,2015
116.12,3,8,2015
115.48,10,8,2015
114.58,17,8,2015
113.23,24,8,2015
111.21,31,8,2015
110.9,7,9,2015
110.6,14,9,2015
110.61,21,9,2015
109.47,28,9,2015
108.94,5,10,2015
108.97,12,10,2015
109.01,19,10,2015
108.04,26,10,2015
107.21,2,11,2015
107.14,9,11,2015
107.36,16,11,2015
107.29,23,11,2015
106.97,30,11,2015
106.75,7,12,2015
104.0,14,12,2015
102.33,21,12,2015
102.11,28,12,2015
102.0,4,1,2016
101.89,11,1,2016
101.8,18,1,2016
101.42,25,1,2016
101.36,1,2,2016
101.51,8,2,2016
101.45,15,2,2016
101.39,22,2,2016
101.42,29,2,2016
101.46,7,3,2016
101.71,14,3,2016
102.58,21,3,2016
103.4,28,3,2016
104.51,4,4,2016
105.39,11,4,2016
106.41,18,4,2016
107.14,25,4,2016
107.82,2,5,2016
108.19,9,5,2016
108.53,16,5,2016
109.12,23,5,2016
109.79,30,5,2016
110.4,6,6,2016
111.03,13,6,2016
111.22,20,6,2016
111.44,27,6,2016
111.65,4,7,2016
111.89,11,7,2016
111.92,18,7,2016
111.69,25,7,2016
111.05,1,8,2016
109.75,8,8,2016
109.28,15,8,2016
109.63,22,8,2016
110.43,29,8,2016
110.97,5,9,2016
111.31,12,9,2016
111.29,19,9,2016
111.36,26,9,2016
111.65,3,10,2016
112.35,10,10,2016
113.72,17,10,2016
115.2,24,10,2016
116.02,31,10,2016
116.56,7,11,2016
116.5,14,11,2016
114.71,21,11,2016
113.72,28,11,2016
113.66,5,12,2016
114.23,12,12,2016
115.0,19,12,2016
115.45,26,12,2016
117.0,2,1,2017
117.98,9,1,2017
118.63,16,1,2017
119.43,23,1,2017
120.01,30,1,2017
120.18,6,2,2017
120.15,13,2,2017
120.2,20,2,2017
120.12,27,2,2017
120.02,6,3,2017
119.8,13,3,2017
118.95,20,3,2017
118.03,27,3,2017
116.93,3,4,2017
117.02,10,4,2017
117.54,17,4,2017
118.15,24,4,2017
118.08,1,5,2017
117.06,8,5,2017
115.6,15,5,2017
115.67,22,5,2017
115.79,29,5,2017
115.82,5,6,2017
115.69,12,6,2017
115.12,19,6,2017
114.43,26,6,2017
113.74,3,7,2017
113.58,10,7,2017
113.89,17,7,2017
113.99,24,7,2017
114.16,31,7,2017
114.78,7,8,2017
115.53,14,8,2017
116.04,21,8,2017
116.4,28,8,2017
116.95,4,9,2017
118.14,11,9,2017
118.85,18,9,2017
118.87,25,9,2017
118.13,2,10,2017
117.16,9,10,2017
117.01,16,10,2017
117.04,23,10,2017
117.06,30,10,2017
117.57,6,11,2017
118.91,13,11,2017
119.67,20,11,2017
120.13,27,11,2017
119.75,4,12,2017
119.91,11,12,2017
119.98,18,12,2017
120.0,25,12,2017
120.19,1,1,2018
120.52,8,1,2018
120.96,15,1,2018
121.5,22,1,2018
121.69,29,1,2018
121.73,5,2,2018
121.58,12,2,2018
120.52,19,2,2018
119.55,26,2,2018
119.29,5,3,2018
119.11,12,3,2018
119.17,19,3,2018
119.23,26,3,2018
119.43,2,4,2018
119.96,9,4,2018
120.56,16,4,2018
121.44,23,4,2018
122.22,30,4,2018
123.27,7,5,2018
124.32,14,5,2018
125.93,21,5,2018
127.58,28,5,2018
128.43,4,6,2018
128.61,11,6,2018
127.92,18,6,2018
127.18,25,6,2018
126.54,2,7,2018
126.97,9,7,2018
127.47,16,7,2018
127.5,23,7,2018
127.54,30,7,2018
128.02,6,8,2018
128.39,13,8,2018
128.79,20,8,2018
129.18,27,8,2018
129.76,3,9,2018
130.24,10,9,2018
130.59,17,9,2018
130.59,24,9,2018
129.98,1,10,2018
130.15,8,10,2018
130.81,15,10,2018
130.98,22,10,2018
130.64,29,10,2018
130.11,5,11,2018
128.94,12,11,2018
127.4,19,11,2018
125.77,26,11,2018
124.3,3,12,2018
122.37,10,12,2018
121.02,17,12,2018
120.61,24,12,2018
120.18,31,12,2018
