Petrol (USD),date,month,year
129.18,27,8,2018
110.61,21,9,2015
132.68,9,1,2012
108.48,16,11,2009
88.16,2,2,2009
117.16,9,10,2017
81.46,20,12,2004
96.13,1,5,2006
133.68,14,11,2011
136.87,29,7,2013
106.43,14,9,2009
102.0,4,1,2016
134.1,30,1,2012
87.42,26,1,2009
88.56,9,1,2006
107.26,16,2,2015
94.63,10,9,2007
136.43,5,11,2012
80.41,28,6,2004
130.03,30,12,2013
111.65,23,3,2015
121.68,13,12,2010
128.57,24,3,2014
115.39,27,9,2010
115.12,19,6,2017
111.92,18,7,2016
117.74,25,10,2010
80.86,2,8,2004
129.29,18,8,2014
107.14,9,11,2015
91.18,10,4,2007
104.87,5,10,2009
133.29,16,1,2012
131.67,14,10,2013
116.34,6,7,2015
111.95,8,2,2010
115.06,4,8,2008
93.72,6,4,2009
81.16,7,3,2005
89.28,9,2,2009
87.9,25,12,2006
136.11,23,5,2011
116.85,19,7,2010
133.43,4,7,2011
95.69,10,7,2006
82.05,4,10,2004
87.34,29,12,2008
87.88,26,12,2005
77.88,12,4,2004
83.11,11,10,2004
111.21,31,8,2015
110.9,7,9,2015
137.47,16,9,2013
131.62,7,10,2013
89.55,23,1,2006
79.84,10,1,2005
94.4,28,8,2006
95.74,21,8,2006
75.92,22,12,2003
116.12,3,8,2015
88.93,19,3,2007
118.63,16,1,2017
101.45,15,2,2016
120.61,24,12,2018
89.88,30,1,2006
129.16,17,2,2014
102.78,13,7,2009
89.37,6,3,2006
128.01,1,9,2014
75.07,21,7,2003
137.0,19,8,2013
138.29,14,5,2012
108.73,23,11,2009
84.27,1,11,2004
104.0,14,12,2015
113.92,11,8,2008
92.77,10,4,2006
118.08,1,5,2017
102.66,31,12,2007
94.91,24,9,2007
108.53,16,5,2016
132.4,2,1,2012
88.03,2,1,2006
116.56,7,11,2016
94.62,20,4,2009
132.53,12,12,2011
120.96,15,1,2018
135.65,26,9,2011
77.44,22,3,2004
113.99,24,7,2017
87.73,11,7,2005
107.21,2,11,2015
79.87,5,7,2004
136.21,27,2,2012
